name,inn
"ООО ""АЙ-ТИ ПРОЕКТ""",0245952230
"ООО ""СЦТ""",0245970197
"ООО БКП ""РЕСПЕКТ""",0256016190
"ООО ""АВЕРС ИНФОРМ""",0256017902
"ООО ""АВЕРС - ЭЛЕКТРОННЫЕ ДОКУМЕНТЫ""",0256999825
"ООО ""ИНФОТЕХСЕРВИС""",0257008080
"ООО НПП ""ГЕОПРОМИНЖИНИРИНГ""",0257010314
"ООО ""СОФТКЛАБ""",0261059136
"ООО ""ТУГАЙ""",0264073040
"ООО АПО ""РЕСПЕКТ""",0265027262
"ООО ""ОВИТ""",0265052999
"ООО ""АВМ""",0266032530
"ООО ""СТИ""",0266034907
"ООО ""ПОЛИСФЕРА""",0266055960
"ООО ""ПИ""",0266075036
"ООО ""БИЗНЕС ТЕХНОЛОГИИ""",0267017012
"ООО ""ИНСТЕР""",0268041346
"ООО ""СИСТЕМА""",0268060003
"ООО ""ТИМ""",0270407132
"ООО ""ИНТАС""",0272916752
"ООО ""АКИНВЕСТ-ПРО""",0272924947
"ООО ""ЛЕКСЕМА""",0273021786
"ООО ""ГАЗОХИМ ИНЖИНИРИНГ""",0273912493
"ООО ""УЦЦТ""",0273934828
"ООО ""ПРОГТЕХБИЗНЕС""",0274114715
"ООО ""МЕГАКАУНТ""",0274120290
"ООО ""КОДЕРЛАЙН СОФТ-ПОРТАЛ""",0274125308
"ООО ""МОБИЛЛ ПЛЮС""",0274131580
"ООО ""ИНФОРМЗАЩИТА""",0274141518
"ООО ""ФРОДЕКС""",0274158790
"ООО ""ВЕБПРОСТРАНСТВО""",0274161360
"ООО ""СС-УФА""",0274169390
"ООО ""ПЕРВАЯ СИСТЕМА""",0274179053
"ООО ""НГП ИНФОРМ""",0274187858
"ООО ""АСУ-ИНЖИНИРИНГ""",0274191220
"ООО ""ВТ""",0274191484
"ООО ""ИАЦ ""ГИС НЕФТЕСЕРВИС""",0274193555
"ООО ""АЙВИСИСТЕМЗ""",0274908161
"ООО НПЦ ""ВИРТЭК""",0274922889
"ООО ""ОБЛАКО 365""",0274964159
"ООО ""МЕГАМОСТ""",0274964889
"АО ""ДИТ""",0274971438
"ООО ""АМКОС""",0274972150
"ООО ""ВАХЭЛП""",0274972262
"ООО ""ТЕХНОЛА""",0274973844
"ООО ""ГЕМБА ГЛОБАЛ""",0274974118
"ООО ""АРМ""",0274974485
"ООО ""ТЕХНОКОДЕР""",0274976299
"ООО ""ЛАТИ""",0274983151
"ООО НПЦ ""ГЕОТЭК""",0275065098
"ООО ""АРБИТРАЖНЫЙ ФОНД""",0275068998
"ООО ""НГТ-ИТ""",0275074568
ООО НИИСТИС,0275083330
"ООО ""АКБЕР-СОФТ""",0275901779
"ООО ""ИЦСБ""",0275906985
"ООО ""ИТ-АРХИТЕКТОР""",0275917641
"ЗАО ""ЮНИСОФТ""",0276060279
"ООО ""БАШТЕЛЕИНФОРМ""",0276063625
"ООО ""МЕДИАЛЮКС""",0276089550
"ООО ""ПРОФ-СЕРВИС""",0276095666
"ООО ""АВАНТИС""",0276102176
"ООО НПЦ ""ГЕОСТРА""",0276105917
"ООО ""НЬЮВИЖН ТЭКНОЛОДЖИС""",0276115626
"ООО ""ИСКРА-ПРО""",0276130180
"ООО КП ""РЕСПЕКТ""",0276133840
"ООО ""ТЕХНОЛОГИЯ ЕСМ""",0276137130
"ООО ""АНТАРЕС""",0276139987
"ООО ""1РАНК""",0276910920
"ООО ""САППОРТ ЛАБ""",0276916954
"ООО ""ИТ КОНСАЛТ""",0276942746
"ООО ""ТОРГИ-ОНЛАЙН""",0276944133
"ООО ""ИАП""",0276950088
"ООО ""АЙТИ-ПРОДЖЕКТС""",0276963150
"ООО ""418 ГРУПП""",0276977185
"ООО ""ТЕХИНФОРМ""",0277085318
"ООО ""ВРТ""",0277112508
"ООО ""АЙ-ТИ КОНСУЛЬТАНТ""",0277121950
"ООО ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",0277128392
"ООО ""СУОЛС""",0277139059
"ООО ""ОНЛАЙН-КОНСАЛТИНГ""",0278095968
"ООО ""АРТМАКС""",0278127472
"ООО ""ЕСТЬ ИДЕЯ""",0278160134
"ООО ""АВЕРС ИНФОРМ""",0278177233
"ООО ""ВАШ КОНСУЛЬТАНТ""",0278181173
"ООО ""АЙТИ ИНТЕЛЛЕКТ""",0278212079
"ООО ""АУЦ""",0278918361
"ООО ""КАРТА ОХОТНИКА""",0278928634
"ООО ""РЕКСМОНТ""",0278937188
"ООО ""ФИКСЛАЙН""",0278959015
"ООО ""СИСТЕМЫ ТЕХНОЛОГИЧЕСКОГО МОДЕЛИРОВАНИЯ""",0278961470
"ООО ""1984""",0278969574
"АО ""НЕДРИКС""",0278969920
"ООО ""СИБКОМ ЦИФРА""",0278972908
"ООО ""КАСТОМ ГРУП СЕРВИС""",0278973080
"ООО ""ДИДЖИЛАБ""",0278973443
"ООО ""КИБ""",0278977670
"ООО ""ОВОДОВ.ИТ""",0278982832
"ООО ""3АСОФТ""",0278983120
"ООО ""ВРД""",0278983385
"ООО НИЦ ""СКЦ""",0278985008
"ООО ""БИНАР""",0300005666
"ООО ""МЕТРИКА-ПРО""",0323124701
"ООО ""НИС БУРЯТИИ""",0323356614
"ООО  ""БАЙКАЛТРЭК""",0323370560
"ООО ""ДИАЛОГСОФТ ПРОДАЖИ""",0323388447
"ООО ""БАЙКАЛМЕДСИСТЕМС""",0323400790
"ООО ""БИЭЙР СИСТЕМЫ""",0323405212
"ООО ""СИБДИДЖИТАЛ""",0323407072
"ООО ""ИПК ""БИЛЛИНГОВЫЙ ЦЕНТР""",0326025353
"ООО ""БАЙКАЛСОФТ""",0326029799
"ООО ""ФРЕГАТ""",0326478071
"ООО ""МЕГАБАЙТ ПЛЮС""",0326480923
"АО ""РАМАКС СИСТЕМЗ""",0411059120
"ООО ФИРМА ""КВАДРО""",0545012621
"ООО КОМПАНИЯ ""КОНСУЛЬТАНТПЛЮСНАГОЕВ""",0721063511
"ООО ""ДАНИФО""",0725013159
"ООО ""ЭЛЕФАНТ ПРО""",0800003561
"ООО ""ПРО""",0800010632
"ООО ""АЮ""",0814142780
"ООО ""ГАРАНТ-ЭЛИСТА""",0814166492
"ООО ""ПИФИЯ""",0900002829
"ООО ""ЭДИСОН""",0912005630
"ООО ""ППМК""",1000000130
"ООО ""НЕОСЕРВИС""",1000010240
"ООО ""ЛЕСПРОМ ИТ""",1000010258
"ООО ""ИНФОКРАФТ СЕВЕРО-ЗАПАД""",1001156517
"ООО ""ИНФОЛАЙН""",1001180679
"ООО ""ИНФОЛАЙН""",1001181633
"ООО ""ПРОКОД""",1001212715
"ООО  ""ОПТИ-СОФТ""",1001232729
"ООО ""КОДЕКС ИТ""",1001235889
"ООО  ""ТЕХНОМЕДИА""",1001254842
"ООО ""ИНЛАБ.ПРО""",1001256060
"ООО ""ДУБЛЬГИС-ПЕТРОЗАВОДСК""",1001262522
"ООО ""ДАТУРУМ""",1001269856
"ООО ""НЕОСИСТЕМЫ ИТ""",1001283924
"ООО ""ВЕНДОСОФТ""",1001288778
"ООО ""ИНТЕРНЕТ-СЛУЖБА ДЛЯ УО""",1001293908
"ООО ""НАТЛЕКС""",1001314072
"ООО ""ЗЕБОМБА""",1001349011
"ООО ""НАТЛЕКС ЛАБ""",1001352529
"ООО ""ГОЗУЗУ""",1001357894
"ООО ""ТЕХНОЛОГИЯ""",1101034865
"ООО ""ДЕНВИК-СИСТЕМ""",1101144201
"ООО ""КОМИСОФТ""",1101169252
"ООО ""ДОДО ИНЖИНИРИНГ""",1101169848
"ООО ""ДЕНВИК АНАЛИТИКА""",1101178666
"ООО ""КОНСАЛТ-ИНФОРМ""",1102029071
"ООО ""СА""",1102076120
"ООО ""СИ КЬЮР""",1103046305
"ООО ""СМЫСЛОВЫЕ МАШИНЫ""",1121001280
"ООО ""С-ОРГАНАЙЗЕР""",1200002582
"ООО ""СТУДИЯ ЦИФРОВЫХ РЕШЕНИЙ""",1200003040
"ООО ""САНСОФТ""",1200007622
"ООО ""БЕЛЫЙ ТИГР. СОФТ И ПРИЛОЖЕНИЯ""",1200009860
"ООО ""ЦИФРОВЫЕ ТЕХНОЛОГИИ""",1215039585
"ООО ""КОНСУЛЬТАНТ ПЛЮС МАРИЙ ЭЛ""",1215049343
"ООО ""НИИ МОНИТОРИНГА КАЧЕСТВА ОБРАЗОВАНИЯ""",1215077277
"ООО ""ПС ЛАБ""",1215079637
"ООО ""ЦЕНТР СОПРОВОЖДЕНИЯ 1С-РАРУС ЙОШКАР-ОЛА""",1215085863
"ООО ""РИЧМЕДИА""",1215139170
"ООО ""ПЛАЗМА СОЛЮШНС""",1215148513
"ООО ""НФПИ""",1215156722
"ООО ""ПРОДАМУС""",1215156909
"ООО ""РАНТАЙМ""",1215167403
"ООО ""АВТОПОМОЩЬ""",1215174827
"ООО ""ЮНИСИСТЕМС""",1215176775
"ООО ""СЕРЕНИТИ""",1215179198
"ООО  ""ЦИТРОНИУМ""",1215179744
"ООО ""ТРЭВЕЛ ЛАЙН СИСТЕМС""",1215180595
"ООО ""ПЛАТЕЖНЫЙ ИНТЕГРАТОР""",1215181060
"ООО ""МОБИЛЬНЫЕ РЕШЕНИЯ ДЛЯ СТРОИТЕЛЬСТВА""",1215186406
"ООО ""МРСПРО""",1215186413
"ООО ""АТЛАС""",1215214935
"ООО ""ТРЭВЕЛ ОФИС ПРО""",1215228279
"ООО ""ЙО СОЛЮШЕНС""",1215229177
"ООО ""АРБ МЕДИА""",1215231627
"ООО ""ОМЕГА СОФТ""",1215233374
"ООО ""ИДЕМА""",1300002184
"ООО ""ГОСТТИМ""",1300006541
"ООО ""ОНК-ПРОДАКШН""",1300010940
"ООО ""АЙВА""",1324002289
"ООО ""РМР ЦТ""",1324002634
"ООО ""ГАРАНТ-МОРДОВИЯ""",1326147353
"ООО ""БИЗНЕС-СОФТ""",1326194113
ООО ЭПРОС,1326195188
"ООО ""ИНТЕРНЕТ ДЛЯ ЖИЗНИ""",1326207059
"ООО ""ПР СОЛЮШН""",1326208077
"ООО ИТЦ ""БАЗИС""",1326209313
"ООО ""КОДЕР""",1326209842
"АО ""ЭВОЛЕНТА""",1326218195
"ООО ""КОДМАСТЕРС МОРДОВИЯ""",1326219287
"ООО ""АИМ ""ТРУВИЗИБИЛИТИ""",1326232721
"ООО ""ИМПУЛЬС-МАРКЕТИНГ""",1326256514
"ООО ""ЦЕНТР НОВЫХ ТЕХНОЛОГИЙ И ИННОВАЦИЙ""",1327002880
"ООО ""ИТ-ЭКСПЕРТ""",1327007246
"ООО ""ТЕХНОЛОГИИ УСПЕХА""",1327014412
"ООО ""ВАШ ЭКСПЕРТ-РЕГИОНЫ""",1327024570
"ООО ""АППТАЙМ""",1327025990
"АО ""ЭНЕРГИЯ""",1327029345
"ООО ""СЕРВИС СОФТ""",1327032250
"ООО ""АЛМОР""",1327034352
"ООО ""ИНФОМАКСИМУМ""",1328909857
"ООО ""ЯКУТ АЙТИ""",1400018565
"ООО ""КОММИТ""",1400023251
"ООО ""ЛАБИС""",1400023526
"ООО ""КЦ ""ГАРМОНИЯ""",1435102345
"ООО ""КОМПЬЮТЕРНЫЙ ЦЕНТР""ГАРМОНИЯ ПЛЮС""",1435127646
"ООО ""АРМ-ПЛЮС""",1435164133
"ООО ""ПРАВОВОЙ ЭКСПЕРТ""",1435196706
"ООО ""СКРИПКА""",1435206023
"ООО ""КЕЙСИСТЕМС-ЯКУТИЯ""",1435231358
"ООО ""СМАРТ ЮНИТ""",1435259360
"ООО ""ИНФОСИСТЕМЫ-КС""",1435264233
"ООО ""АЭБ АЙТИ""",1435309340
"ООО ""ЯКИТ""",1435317580
"ООО ""САЙБЕРИЯ""",1435338453
"ООО ""ШАРПЛОДЖИК""",1435347320
"ООО ""ЭНТАЙЕРПРОДАКТ""",1435363435
"ООО ""ЦИФРОВАЯ АЛАНИЯ""",1500002946
"ООО ""ОКТА""",1500012510
"ООО ""РАНТЕК""",1500014363
"ООО ""ЭКСПЕРТНО-АНАЛИТИЧЕСКИЕ СИСТЕМЫ""",1513035353
"ООО ""АЙ-ТЕКО НТ""",1615012122
"ООО ""ВИЗИОЛОДЖИ ТЕХНОЛОГИИ""",1615012997
"ООО ""БИНАРНЫЕ МАШИНЫ""",1615014313
"ООО ""АЛЛОКА АНАЛИТИКА""",1615014345
"ООО ""ВРМ ГРУПП""",1615014360
"ООО ""ГЛОБАЛ ГЕО""",1615015596
"ООО ""ВЛАГЕРЕ""",1615015613
"ООО ""АВАНТИ-СОФТ""",1615016092
"ООО ""АЙДИ РЕШЕНИЯ""",1615016335
"ООО ""АЙБУСТ""",1616030290
"ООО ""АБ СОФТ""",1623014540
"ООО ""АЙСИЭЛ СОФТ""",1624016042
"ООО ""АЙТИ42""",1639060220
"ООО ""ГИПЕРСПЭЙС-ТЕХНОЛОГИИ""",1644100380
"ООО ""ГЛОБАЛТРЕК""",1646049274
"ООО ""БАРС-СПО""",1648038969
"ООО ""АСУ-ПРОЕКТ""",1650124767
"ООО ""АЙТАТ ЦИФРОВИЗАЦИЯ""",1650129028
"ООО ""АЙТАТ""",1650132334
"ООО ""АЙТИГРУПП""",1650226913
"ООО ""АБАКАМ""",1650233396
"ООО ""АТРАКС ТРЕЙД""",1650280220
"ООО ""2ГИС-ЗАКАМЬЕ""",1650284619
"ООО ""БОЛЬШИЕ ЧИСЛА""",1650329732
"ООО ""ВЕСА СИСТЕМ""",1650390180
"ООО ""ВТС РЕШЕНИЯ""",1650430637
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЬЕРНЫЙ КОМПАС""",1650439478
"НПФ ""ИНТЕХ""",1653001481
"ЗАО ""ТАКСНЕТ""",1655045406
"ООО ""ГРАДОСЕРВИС""",1655095333
"ООО ""ВИТТЕ КОНСАЛТИНГ""",1655138650
"ООО ""АЙТИСИ КАЗАНЬ""",1655155021
"АО ""АЙКО""",1655166016
"ЗАО ""ВИТАКОР""",1655178822
"ООО ""ДАТА ФОРС""",1655210071
"АО ""БАРС ГРУП""",1655251590
"ООО ""АЙКЮСОФТ""",1655282870
"ООО ""АРМОР""",1655293180
"ООО ""ВДСКОМ""",1655323533
"ООО ""АГГРЕГИОН РУС""",1655335828
"ООО ""БАРС-МЕДИЦИНА""",1655336853
"АНО ""ПЭТ""",1655378684
"ООО ""АРТСТЕЙШН ЛАБС""",1655398673
"ООО ""БРЭЙН""",1655414685
"ООО ""ДЕЛИОН""",1655415230
"ООО ""ГЕТ СКРИН СОФТВЕР""",1655434071
"ООО ""131 ТЕХНОЛОГИИ""",1655437883
"ООО ""ДЕЛЬТА ИТ""",1655440501
"ООО ""99 БАЛЛОВ""",1655455610
"ООО ""АЛЬФАТЕХ РЕШЕНИЕ""",1655459252
"ООО ""АТЛАС АЙТИ РЕШЕНИЯ""",1655469691
"ООО ""ВАЙТ ФРЕЙМ""",1655472567
"ООО ""АУТПЛАН""",1655497265
"АО ""ДОБЕРШТЕЙН""",1655498692
